order_id,user_id,gender,age,country,product_category,product_brand,product_department,retail_price,sale_price,discount_amount,discount_percent,days_to_ship,shipping_duration,days_to_return,is_returned,order_status,order_date,order_day_of_week,order_month,order_year
50,33,F,65,United States,Jeans,Hudson,Women,122.98999786376952,122.98999786376952,0,0,2,0,,0,Complete,2024-02-17 05:01:00 UTC,7,2,2024
54,37,F,32,China,Skirts,Sanctuary,Women,25,25,0,0,2,0,,0,Complete,2023-02-03 16:49:00 UTC,6,2,2023
61,44,F,64,United States,Maternity,LLange Maternity,Women,18.989999771118164,18.989999771118164,0,0,2,2,,0,Complete,2025-09-11 12:53:00 UTC,5,9,2025
70,52,F,16,United States,Skirts,Full Tilt,Women,19.989999771118164,19.989999771118164,0,0,2,1,,0,Complete,2022-05-04 13:15:00 UTC,4,5,2022
70,52,F,16,United States,Active,The North Face,Women,308,308,0,0,2,1,,0,Complete,2022-05-04 13:15:00 UTC,4,5,2022
71,53,F,13,China,Intimates,Assets,Women,23,23,0,0,1,1,,0,Complete,2025-03-22 00:22:00 UTC,7,3,2025
71,53,F,13,China,Sweaters,Devon & Jones,Women,29.469999313354489,29.469999313354489,0,0,1,1,,0,Complete,2025-03-22 00:22:00 UTC,7,3,2025
73,55,F,34,United States,Intimates,AIRBLASTER,Women,159.94999694824219,159.94999694824219,0,0,2,2,,0,Complete,2025-01-05 03:38:00 UTC,1,1,2025
87,66,F,57,United Kingdom,Pants & Capris,Mod-O-Doc,Women,25,25,0,0,2,4,,0,Complete,2023-11-23 05:24:00 UTC,5,11,2023
87,66,F,57,United Kingdom,Fashion Hoodies & Sweatshirts,Life Is Good,Women,52,52,0,0,2,4,,0,Complete,2023-11-23 05:24:00 UTC,5,11,2023
97,71,F,69,South Korea,Socks & Hosiery,Palmetto Fundraising,Women,1.950000047683716,1.950000047683716,0,0,0,2,,0,Complete,2024-06-14 08:11:00 UTC,6,6,2024
97,71,F,69,South Korea,Active,Nike,Women,24.989999771118164,24.989999771118164,0,0,0,2,,0,Complete,2024-06-14 08:11:00 UTC,6,6,2024
98,72,F,22,China,Blazers & Jackets,MAXSTUDIO,Women,198,198,0,0,1,1,,0,Complete,2022-02-13 14:58:00 UTC,1,2,2022
99,72,F,22,China,Blazers & Jackets,Allegra K,Women,9.0399999618530273,9.0399999618530273,0,0,2,3,,0,Complete,2023-07-30 14:58:00 UTC,1,7,2023
111,76,F,23,United Kingdom,Skirts,Soho Girls,Women,7.690000057220459,7.690000057220459,0,0,2,1,,0,Complete,2024-08-19 05:20:00 UTC,2,8,2024
111,76,F,23,United Kingdom,Dresses,Argenti,Women,26.989999771118164,26.989999771118164,0,0,2,1,,0,Complete,2024-08-19 05:20:00 UTC,2,8,2024
111,76,F,23,United Kingdom,Swim,Splendid,Women,55,55,0,0,2,1,,0,Complete,2024-08-19 05:20:00 UTC,2,8,2024
111,76,F,23,United Kingdom,Fashion Hoodies & Sweatshirts,Life Is Good,Women,62,62,0,0,2,1,,0,Complete,2024-08-19 05:20:00 UTC,2,8,2024
134,95,F,54,United States,Blazers & Jackets,Only Hearts,Women,119.04000091552734,119.04000091552734,0,0,0,0,,0,Complete,2025-09-23 08:50:00 UTC,3,9,2025
140,100,F,50,China,Tops & Tees,FineBrandShop,Women,17.5,17.5,0,0,2,3,,0,Complete,2024-04-28 16:08:00 UTC,1,4,2024
140,100,F,50,China,Accessories,Barmah Hats,Women,84,84,0,0,2,3,,0,Complete,2024-04-28 16:08:00 UTC,1,4,2024
178,125,F,30,Brasil,Plus,Fruit of the Loom,Women,10,10,0,0,2,1,,0,Complete,2025-10-16 05:28:59.424877 UTC,5,10,2025
196,135,F,18,Germany,Maternity,Lamaze,Women,18,18,0,0,1,0,,0,Complete,2025-07-30 08:03:00 UTC,4,7,2025
196,135,F,18,Germany,Intimates,Anna-Kaci,Women,21.899999618530277,21.899999618530277,0,0,1,0,,0,Complete,2025-07-30 08:03:00 UTC,4,7,2025
196,135,F,18,Germany,Sweaters,LAmade,Women,43.6599998474121,43.6599998474121,0,0,1,0,,0,Complete,2025-07-30 08:03:00 UTC,4,7,2025
197,135,F,18,Germany,Jeans,Hot Topic,Women,34.5,34.5,0,0,1,4,,0,Complete,2025-09-07 08:03:00 UTC,1,9,2025
197,135,F,18,Germany,Fashion Hoodies & Sweatshirts,Jack,Women,75,75,0,0,1,4,,0,Complete,2025-09-07 08:03:00 UTC,1,9,2025
221,154,F,24,Brasil,Accessories,Manzella,Women,16.959999084472656,16.959999084472656,0,0,2,1,,0,Complete,2025-08-22 16:18:00 UTC,6,8,2025
250,178,F,17,South Korea,Intimates,Maidenform,Women,42,42,0,0,2,0,,0,Complete,2022-03-08 08:36:00 UTC,3,3,2022
275,199,F,39,Brasil,Dresses,Anna-Kaci,Women,27.899999618530277,27.899999618530277,0,0,1,2,,0,Complete,2024-02-12 01:27:00 UTC,2,2,2024
277,201,F,14,United States,Sleep & Lounge,Up2date Fashion,Women,8.9899997711181641,8.9899997711181641,0,0,0,3,,0,Complete,2025-03-03 11:21:00 UTC,2,3,2025
277,201,F,14,United States,Leggings,Lily's Hosiery,Women,10.989999771118164,10.989999771118164,0,0,0,3,,0,Complete,2025-03-03 11:21:00 UTC,2,3,2025
277,201,F,14,United States,Sleep & Lounge,BedHead,Women,118,118,0,0,0,3,,0,Complete,2025-03-03 11:21:00 UTC,2,3,2025
281,202,F,23,South Korea,Maternity,J BRAND,Women,196,196,0,0,1,3,,0,Complete,2025-08-08 02:09:00 UTC,6,8,2025
302,220,F,57,Spain,Socks & Hosiery,,Women,16,16,0,0,1,2,,0,Complete,2024-05-01 14:46:00 UTC,4,5,2024
316,233,F,29,China,Intimates,Felina,Women,36,36,0,0,2,4,,0,Complete,2024-10-20 17:10:00 UTC,1,10,2024
324,239,F,54,Spain,Sleep & Lounge,Aegean,Women,69.989997863769531,69.989997863769531,0,0,0,4,,0,Complete,2023-12-22 17:36:00 UTC,6,12,2023
330,245,F,15,South Korea,Dresses,Wallflower,Women,24.25,24.25,0,0,1,4,,0,Complete,2025-03-04 09:56:00 UTC,3,3,2025
332,245,F,15,South Korea,Pants & Capris,LOTUSTRADERS,Women,42.9900016784668,42.9900016784668,0,0,2,1,,0,Complete,2024-07-09 09:56:00 UTC,3,7,2024
333,246,F,37,South Korea,Intimates,Flakisima,Women,44.9900016784668,44.9900016784668,0,0,1,0,,0,Complete,2025-05-20 12:25:00 UTC,3,5,2025
344,253,F,42,United States,Intimates,Fashion Forms,Women,10,10,0,0,2,2,,0,Complete,2025-05-04 08:18:00 UTC,1,5,2025
344,253,F,42,United States,Socks & Hosiery,Stella Elyse,Women,13.989999771118164,13.989999771118164,0,0,2,2,,0,Complete,2025-05-04 08:18:00 UTC,1,5,2025
344,253,F,42,United States,Sleep & Lounge,Aegean,Women,79.989997863769531,79.989997863769531,0,0,2,2,,0,Complete,2025-05-04 08:18:00 UTC,1,5,2025
344,253,F,42,United States,Tops & Tees,Anne Klein,Women,89,89,0,0,2,2,,0,Complete,2025-05-04 08:18:00 UTC,1,5,2025
347,256,F,28,China,Dresses,eVogues Apparel,Women,34.9900016784668,34.9900016784668,0,0,0,2,,0,Complete,2024-07-11 16:07:00 UTC,5,7,2024
350,259,F,66,Brasil,Jumpsuits & Rompers,Sweet Pea,Women,78,78,0,0,1,4,,0,Complete,2025-04-01 18:04:00 UTC,3,4,2025
351,260,F,59,China,Intimates,Fashion Essentials,Women,6.9000000953674316,6.9000000953674316,0,0,1,1,,0,Complete,2023-08-07 09:04:00 UTC,2,8,2023
351,260,F,59,China,Intimates,SlimMe,Women,36,36,0,0,1,1,,0,Complete,2023-08-07 09:04:00 UTC,2,8,2023
352,260,F,59,China,Intimates,Amoena,Women,50,50,0,0,2,2,,0,Complete,2024-10-05 09:04:00 UTC,7,10,2024
353,260,F,59,China,Intimates,Skinnygirl,Women,34,34,0,0,1,0,,0,Complete,2022-11-25 09:04:00 UTC,6,11,2022
355,261,F,22,China,Sleep & Lounge,Tommy Hilfiger,Women,31.219999313354489,31.219999313354489,0,0,0,0,,0,Complete,2024-05-10 09:28:00 UTC,6,5,2024
355,261,F,22,China,Pants & Capris,Ulla Popken,Women,44,44,0,0,0,0,,0,Complete,2024-05-10 09:28:00 UTC,6,5,2024
372,274,F,65,United Kingdom,Plus,Red Blossom,Women,9.9499998092651367,9.9499998092651367,0,0,1,3,,0,Complete,2025-02-23 01:41:00 UTC,1,2,2025
393,293,F,34,Germany,Accessories,NEFF,Women,14.399999618530272,14.399999618530272,0,0,1,3,,0,Complete,2025-06-30 09:46:00 UTC,2,6,2025
393,293,F,34,Germany,Shorts,G-Star,Women,27.450000762939453,27.450000762939453,0,0,1,3,,0,Complete,2025-06-30 09:46:00 UTC,2,6,2025
407,300,F,69,Australia,Intimates,Felina,Women,72,72,0,0,1,2,,0,Complete,2023-09-23 13:24:00 UTC,7,9,2023
409,302,F,33,China,Shorts,Joe's Jeans,Women,148,148,0,0,1,1,,0,Complete,2023-05-20 11:47:00 UTC,7,5,2023
415,305,F,45,Brasil,Intimates,Vanity Fair,Women,34,34,0,0,0,1,,0,Complete,2024-10-03 15:51:00 UTC,5,10,2024
418,308,F,29,Japan,Leggings,Hold Your Haunches,Women,170.97999572753906,170.97999572753906,0,0,0,2,,0,Complete,2025-10-04 15:34:00 UTC,7,10,2025
434,326,F,56,China,Sweaters,Tri-Mountain,Women,60.9900016784668,60.9900016784668,0,0,1,4,,0,Complete,2023-02-15 11:15:00 UTC,4,2,2023
439,331,F,43,China,Pants & Capris,Jessica London,Women,34.9900016784668,34.9900016784668,0,0,0,3,,0,Complete,2023-12-27 08:57:00 UTC,4,12,2023
444,335,F,24,South Korea,Accessories,Teramasu,Women,18.989999771118164,18.989999771118164,0,0,2,0,,0,Complete,2022-11-24 00:49:00 UTC,5,11,2022
451,342,F,57,China,Intimates,Laura,Women,23.450000762939453,23.450000762939453,0,0,0,1,,0,Complete,2024-12-16 17:55:00 UTC,2,12,2024
459,352,F,37,South Korea,Sweaters,Woolrich,Women,79,79,0,0,1,4,,0,Complete,2025-10-17 10:19:05.273163 UTC,6,10,2025
482,374,F,48,United States,Fashion Hoodies & Sweatshirts,HoodieBuddie,Women,29.989999771118164,29.989999771118164,0,0,1,2,,0,Complete,2025-10-09 07:23:00 UTC,5,10,2025
483,374,F,48,United States,Sweaters,Alfred Dunner,Women,36.9900016784668,36.9900016784668,0,0,2,4,,0,Complete,2025-10-17 07:23:00 UTC,6,10,2025
484,375,F,41,China,Pants & Capris,Alfred Dunner,Women,26.989999771118164,26.989999771118164,0,0,1,1,,0,Complete,2023-04-28 09:52:00 UTC,6,4,2023
493,382,F,47,China,Active,Wigwam,Women,15.239999771118164,15.239999771118164,0,0,0,4,,0,Complete,2024-01-31 15:06:00 UTC,4,1,2024
525,405,F,42,United States,Intimates,Ilusion,Women,9.9799995422363281,9.9799995422363281,0,0,2,4,,0,Complete,2022-05-30 12:58:00 UTC,2,5,2022
527,408,F,23,United Kingdom,Shorts,Anna-Kaci,Women,19.899999618530277,19.899999618530277,0,0,0,3,,0,Complete,2024-10-16 05:56:00 UTC,4,10,2024
527,408,F,23,United Kingdom,Sleep & Lounge,Paul Frank,Women,30,30,0,0,0,3,,0,Complete,2024-10-16 05:56:00 UTC,4,10,2024
532,412,F,49,Brasil,Swim,Bloom's Outlet,Women,21.989999771118164,21.989999771118164,0,0,1,4,,0,Complete,2019-03-21 08:47:00 UTC,5,3,2019
547,427,F,30,United States,Outerwear & Coats,2b by bebe,Women,49.950000762939446,49.950000762939446,0,0,1,0,,0,Complete,2021-12-31 11:11:00 UTC,6,12,2021
559,438,F,70,China,Fashion Hoodies & Sweatshirts,Roxy,Women,51.950000762939446,51.950000762939446,0,0,2,3,,0,Complete,2022-01-02 03:05:00 UTC,1,1,2022
560,438,F,70,China,Pants & Capris,LOTUSTRADERS,Women,42.9900016784668,42.9900016784668,0,0,1,0,,0,Complete,2021-09-10 03:05:00 UTC,6,9,2021
561,438,F,70,China,Dresses,Gypsy 05,Women,143,143,0,0,2,4,,0,Complete,2021-01-15 03:05:00 UTC,6,1,2021
563,440,F,18,China,Intimates,Rampage,Women,14.989999771118164,14.989999771118164,0,0,2,1,,0,Complete,2025-05-25 02:08:00 UTC,1,5,2025
563,440,F,18,China,Jumpsuits & Rompers,BCBGeneration,Women,81.4000015258789,81.4000015258789,0,0,2,1,,0,Complete,2025-05-25 02:08:00 UTC,1,5,2025
563,440,F,18,China,Swim,Speedo,Women,82,82,0,0,2,1,,0,Complete,2025-05-25 02:08:00 UTC,1,5,2025
563,440,F,18,China,Dresses,Jessica Howard,Women,99.989997863769517,99.989997863769517,0,0,2,1,,0,Complete,2025-05-25 02:08:00 UTC,1,5,2025
569,449,F,24,China,Intimates,Corset Story,Women,38,38,0,0,1,3,,0,Complete,2025-09-15 16:51:00 UTC,2,9,2025
571,451,F,30,United Kingdom,Tops & Tees,Bella,Women,24.690000534057617,24.690000534057617,0,0,1,1,,0,Complete,2025-06-29 16:55:00 UTC,1,6,2025
572,452,F,44,United States,Fashion Hoodies & Sweatshirts,Activewear Apparel,Women,41.9900016784668,41.9900016784668,0,0,0,0,,0,Complete,2024-02-08 04:14:00 UTC,5,2,2024
572,452,F,44,United States,Sweaters,Sutton Studio,Women,149.97000122070312,149.97000122070312,0,0,0,0,,0,Complete,2024-02-08 04:14:00 UTC,5,2,2024
575,454,F,37,Brasil,Maternity,Motherhood Maternity,Women,26.979999542236328,26.979999542236328,0,0,1,4,,0,Complete,2024-07-09 17:00:00 UTC,3,7,2024
579,457,F,48,United States,Socks & Hosiery,Ozone,Women,13,13,0,0,2,4,,0,Complete,2025-07-08 07:39:00 UTC,3,7,2025
580,457,F,48,United States,Intimates,Cortland,Women,39.9900016784668,39.9900016784668,0,0,2,4,,0,Complete,2025-04-27 07:39:00 UTC,1,4,2025
603,476,F,13,United States,Shorts,Rich & Skinny,Women,25,25,0,0,2,3,,0,Complete,2021-01-07 14:21:00 UTC,5,1,2021
603,476,F,13,United States,Shorts,Jones New York,Women,42.1599998474121,42.1599998474121,0,0,2,3,,0,Complete,2021-01-07 14:21:00 UTC,5,1,2021
603,476,F,13,United States,Plus,Ray-Ban,Women,129.99000549316406,129.99000549316406,0,0,2,3,,0,Complete,2021-01-07 14:21:00 UTC,5,1,2021
604,477,F,56,Brasil,Accessories,Dosh,Women,75,75,0,0,0,1,,0,Complete,2019-09-15 01:05:00 UTC,1,9,2019
609,479,F,42,South Korea,Plus,FreshGear AFX,Women,16.989999771118164,16.989999771118164,0,0,1,3,,0,Complete,2025-09-24 07:11:00 UTC,4,9,2025
609,479,F,42,South Korea,Intimates,Drawstrings,Women,29.899999618530277,29.899999618530277,0,0,1,3,,0,Complete,2025-09-24 07:11:00 UTC,4,9,2025
609,479,F,42,South Korea,Shorts,Billabong,Women,49.450000762939446,49.450000762939446,0,0,1,3,,0,Complete,2025-09-24 07:11:00 UTC,4,9,2025
620,486,F,70,United States,Active,Wacoal,Women,65,65,0,0,0,3,,0,Complete,2024-03-15 13:01:00 UTC,6,3,2024
636,500,F,62,China,Shorts,FineBrandShop,Women,7.25,7.25,0,0,1,0,,0,Complete,2025-03-19 02:46:00 UTC,4,3,2025
636,500,F,62,China,Intimates,Playtex,Women,35,35,0,0,1,0,,0,Complete,2025-03-19 02:46:00 UTC,4,3,2025
637,500,F,62,China,Plus,Eddie Bauer,Women,27.950000762939453,27.950000762939453,0,0,2,2,,0,Complete,2024-10-21 02:46:00 UTC,2,10,2024
648,509,F,28,Brasil,Fashion Hoodies & Sweatshirts,John Deere,Women,55.9900016784668,55.9900016784668,0,0,2,0,,0,Complete,2023-02-09 14:11:00 UTC,5,2,2023
650,509,F,28,Brasil,Leggings,SK Hat shop,Women,14.949999809265137,14.949999809265137,0,0,1,0,,0,Complete,2019-08-31 14:11:00 UTC,7,8,2019
650,509,F,28,Brasil,Dresses,Allegra K,Women,16.6299991607666,16.6299991607666,0,0,1,0,,0,Complete,2019-08-31 14:11:00 UTC,7,8,2019
652,510,F,36,China,Socks & Hosiery,Betsey Johnson,Women,50,50,0,0,0,4,,0,Complete,2025-05-01 02:12:00 UTC,5,5,2025
654,510,F,36,China,Sleep & Lounge,Alexander Del Rossa,Women,34.9900016784668,34.9900016784668,0,0,2,4,,0,Complete,2025-09-16 02:12:00 UTC,3,9,2025
679,526,F,35,South Korea,Intimates,Only Hearts,Women,44,44,0,0,1,1,,0,Complete,2023-04-24 13:36:00 UTC,2,4,2023
683,527,F,21,China,Intimates,b.tempt'd by Wacoal,Women,10,10,0,0,2,3,,0,Complete,2025-03-31 01:32:00 UTC,2,3,2025
687,529,F,31,United States,Intimates,Sweetheart Slips,Women,43.950000762939446,43.950000762939446,0,0,1,0,,0,Complete,2022-09-30 01:41:00 UTC,6,9,2022
692,532,F,17,United States,Swim,Speedo,Women,53.549999237060554,53.549999237060554,0,0,0,0,,0,Complete,2024-11-03 17:57:00 UTC,1,11,2024
695,534,F,50,United States,Dresses,Tart,Women,136,136,0,0,2,4,,0,Complete,2025-06-09 01:05:00 UTC,2,6,2025
703,543,F,18,France,Swim,The Beach Depot,Women,29.950000762939453,29.950000762939453,0,0,2,1,,0,Complete,2025-09-05 18:09:00 UTC,6,9,2025
703,543,F,18,France,Sweaters,Sutton Studio,Women,119.9499969482422,119.9499969482422,0,0,2,1,,0,Complete,2025-09-05 18:09:00 UTC,6,9,2025
704,544,F,23,Spain,Tops & Tees,Allegra K,Women,12.229999542236328,12.229999542236328,0,0,0,3,,0,Complete,2024-08-26 04:40:00 UTC,2,8,2024
704,544,F,23,Spain,Outerwear & Coats,FineBrandShop,Women,44,44,0,0,0,3,,0,Complete,2024-08-26 04:40:00 UTC,2,8,2024
708,547,F,37,United States,Jumpsuits & Rompers,Allegra K,Women,11.079999923706056,11.079999923706056,0,0,0,0,,0,Complete,2025-02-04 11:57:00 UTC,3,2,2025
709,547,F,37,United States,Sleep & Lounge,Night Shirt,Women,29.989999771118164,29.989999771118164,0,0,0,1,,0,Complete,2025-06-17 11:57:00 UTC,3,6,2025
710,547,F,37,United States,Socks & Hosiery,Marcoliani Milano,Women,69,69,0,0,1,3,,0,Complete,2025-03-06 11:57:00 UTC,5,3,2025
710,547,F,37,United States,Intimates,Arc'teryx,Women,139,139,0,0,1,3,,0,Complete,2025-03-06 11:57:00 UTC,5,3,2025
713,550,F,60,China,Maternity,Three Seasons Maternity,Women,42,42,0,0,1,2,,0,Complete,2023-03-09 04:01:00 UTC,5,3,2023
735,574,F,55,United States,Intimates,Artwedding,Women,22.989999771118164,22.989999771118164,0,0,0,1,,0,Complete,2025-09-10 11:25:00 UTC,4,9,2025
735,574,F,55,United States,Intimates,Heavenly Shapewear,Women,25.200000762939453,25.200000762939453,0,0,0,1,,0,Complete,2025-09-10 11:25:00 UTC,4,9,2025
738,577,F,38,China,Jumpsuits & Rompers,Rompers and Jumpsuits HS,Women,29.989999771118164,29.989999771118164,0,0,1,0,,0,Complete,2023-08-01 12:41:00 UTC,3,8,2023
739,577,F,38,China,Tops & Tees,Tommy Hilfiger,Women,24.989999771118164,24.989999771118164,0,0,1,1,,0,Complete,2024-03-11 12:41:00 UTC,2,3,2024
741,579,F,26,China,Dresses,CUTE OPTIONS,Women,15,15,0,0,0,1,,0,Complete,2024-08-12 06:15:00 UTC,2,8,2024
741,579,F,26,China,Intimates,Hanro,Women,50,50,0,0,0,1,,0,Complete,2024-08-12 06:15:00 UTC,2,8,2024
741,579,F,26,China,Tops & Tees,Blue Banana,Women,57.9900016784668,57.9900016784668,0,0,0,1,,0,Complete,2024-08-12 06:15:00 UTC,2,8,2024
761,602,F,70,Japan,Plus,SmartWool,Women,15.949999809265137,15.949999809265137,0,0,2,1,,0,Complete,2025-01-03 00:41:00 UTC,6,1,2025
761,602,F,70,Japan,Swim,Karla Colletto,Women,285,285,0,0,2,1,,0,Complete,2025-01-03 00:41:00 UTC,6,1,2025
765,604,F,38,Brasil,Fashion Hoodies & Sweatshirts,Southpole,Women,39.9900016784668,39.9900016784668,0,0,2,1,,0,Complete,2024-12-23 09:21:00 UTC,2,12,2024
769,607,F,52,United States,Outerwear & Coats,Via Spiga,Women,79.989997863769531,79.989997863769531,0,0,2,2,,0,Complete,2021-08-28 18:48:00 UTC,7,8,2021
771,608,F,15,Brasil,Intimates,ascension,Women,14.989999771118164,14.989999771118164,0,0,0,3,,0,Complete,2022-05-28 02:13:00 UTC,7,5,2022
785,619,F,64,China,Dresses,Kiyonna,Women,158,158,0,0,0,1,,0,Complete,2024-11-09 08:30:00 UTC,7,11,2024
821,649,F,35,United Kingdom,Jeans,Rock Revival,Women,126,126,0,0,2,4,,0,Complete,2022-05-07 09:56:00 UTC,7,5,2022
822,649,F,35,United Kingdom,Sleep & Lounge,Stan Herman,Women,44.299999237060554,44.299999237060554,0,0,0,0,,0,Complete,2021-08-31 09:56:00 UTC,3,8,2021
832,660,F,63,China,Outerwear & Coats,Jones New York,Women,599,599,0,0,0,2,,0,Complete,2023-04-21 15:38:00 UTC,6,4,2023
838,666,F,28,United States,Shorts,Splendid,Women,13.5,13.5,0,0,0,3,,0,Complete,2024-05-21 02:38:00 UTC,3,5,2024
838,666,F,28,United States,Accessories,,Women,24.25,24.25,0,0,0,3,,0,Complete,2024-05-21 02:38:00 UTC,3,5,2024
838,666,F,28,United States,Intimates,Dreamgirl,Women,31.430000305175781,31.430000305175781,0,0,0,3,,0,Complete,2024-05-21 02:38:00 UTC,3,5,2024
838,666,F,28,United States,Tops & Tees,UltraClub,Women,43.9900016784668,43.9900016784668,0,0,0,3,,0,Complete,2024-05-21 02:38:00 UTC,3,5,2024
851,678,F,15,United States,Active,Capezio,Women,22,22,0,0,0,1,,0,Complete,2025-09-12 17:33:00 UTC,6,9,2025
858,683,F,47,United States,Jeans,True Religion,Women,222,222,0,0,2,2,,0,Complete,2020-09-07 10:36:00 UTC,2,9,2020
866,689,F,37,South Korea,Socks & Hosiery,Gold Toe,Women,15,15,0,0,0,3,,0,Complete,2025-03-28 01:19:00 UTC,6,3,2025
892,711,F,67,Germany,Outerwear & Coats,TREASURE ROCK,Women,15,15,0,0,2,2,,0,Complete,2019-07-10 00:57:00 UTC,4,7,2019
895,712,F,22,Brasil,Outerwear & Coats,Jones New York,Women,70,70,0,0,2,0,,0,Complete,2025-05-26 01:05:00 UTC,2,5,2025
899,713,F,70,United Kingdom,Intimates,Fruit of the Loom,Women,13,13,0,0,1,0,,0,Complete,2023-09-25 05:46:00 UTC,2,9,2023
924,735,F,30,China,Intimates,Bali,Women,25,25,0,0,2,0,,0,Complete,2024-06-30 05:49:00 UTC,1,6,2024
927,737,F,16,United States,Pants & Capris,Nicole Miller,Women,14.949999809265137,14.949999809265137,0,0,0,3,,0,Complete,2024-06-16 12:47:00 UTC,1,6,2024
927,737,F,16,United States,Active,Capezio,Women,22.639999389648441,22.639999389648441,0,0,0,3,,0,Complete,2024-06-16 12:47:00 UTC,1,6,2024
927,737,F,16,United States,Plus,Coal,Women,32,32,0,0,0,3,,0,Complete,2024-06-16 12:47:00 UTC,1,6,2024
934,742,F,53,China,Dresses,Pencey Standard,Women,25,25,0,0,1,1,,0,Complete,2025-08-18 04:08:00 UTC,2,8,2025
939,746,F,20,Spain,Intimates,Laura,Women,34.950000762939453,34.950000762939453,0,0,1,2,,0,Complete,2020-11-27 12:24:00 UTC,6,11,2020
945,749,F,45,United States,Plus,Buxton,Women,12.989999771118164,12.989999771118164,0,0,1,0,,0,Complete,2025-03-30 07:05:00 UTC,1,3,2025
957,759,F,20,United States,Leggings,SK Hat shop,Women,9.9499998092651367,9.9499998092651367,0,0,2,2,,0,Complete,2024-03-21 16:56:00 UTC,5,3,2024
993,789,F,46,Japan,Dresses,Hot from Hollywood,Women,36.9900016784668,36.9900016784668,0,0,1,0,,0,Complete,2023-03-12 06:24:00 UTC,1,3,2023
994,790,F,47,China,Intimates,PURE STYLE Girlfriends,Women,39.9900016784668,39.9900016784668,0,0,2,0,,0,Complete,2024-01-23 18:36:00 UTC,3,1,2024
996,791,F,48,United States,Intimates,SEX NIGHT,Women,22,22,0,0,2,1,,0,Complete,2024-02-23 08:11:00 UTC,6,2,2024
996,791,F,48,United States,Skirts,Vince Camuto,Women,49.970001220703125,49.970001220703125,0,0,2,1,,0,Complete,2024-02-23 08:11:00 UTC,6,2,2024
1007,799,F,37,Brasil,Swim,Roxy,Women,42,42,0,0,1,1,,0,Complete,2024-10-28 14:28:00 UTC,2,10,2024
1027,823,F,65,United States,Jeans,7 For All Mankind,Women,151.60000610351562,151.60000610351562,0,0,0,2,,0,Complete,2025-09-26 01:25:00 UTC,6,9,2025
1032,827,F,21,China,Intimates,Morris Costumes,Women,34.599998474121094,34.599998474121094,0,0,2,0,,0,Complete,2025-03-12 11:28:00 UTC,4,3,2025
1045,840,F,21,China,Shorts,D.E.P.T.,Women,89,89,0,0,1,1,,0,Complete,2023-01-06 01:12:00 UTC,6,1,2023
